"","agency","year","department","expense_category","budget_code","budget_name","adopted","modified","encumbered","cash_expense","pre_encumbered","post_adjustment","accrued_expense"
"1","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3550","AIDS Prevention & Surveillance-Fed","95986003","89362592","0","89498156.29","0","0.07","0"
"2","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3680","BEACONS","25399893","24803114","0","24860160.13","0","6540","0"
"3","Department of Youth and Community Development","2011","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","9805","COMMUNITY ACTION","19168767","23803889","0","22014944.36","0","0","0"
"4","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3625","WTC Communications","21264331","20380237","0","20009053.8","0","606056.18","0"
"5","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","JTPA-WAGES","3710","Summer Youth Employment Program","19342509","20144418","0","20144417.78","0","0","0"
"6","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","PAYMENTS TO DELEGATE AGENCIES","3702","WIA - Out-of-School Youth","7312927","14149722","0","11145904.64","0","0","0"
"7","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","JTPA-WAGES","S017","ARRA Lead Weatherization","5703080","10349137","0","10297033","0","0","0"
"8","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3557","Youth Program at NYCHA","0","10017253","0","10090176.81","0","159958.3","0"
"9","Department of Youth and Community Development","2011","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3690","AIDS CASE DEFINITION","7316182","8316182","0","8202257.66","0","88582.71","0"
"10","Department of Youth and Community Development","2011","EXECUTIVE AND ADMINISTRATIVE MGMT PS","FULL YEAR POSITIONS","2006","IIA&IIC JTPA-TAP TRAINING","7915956","8284976","0","7952517.11","0","0","0"
