"","agency","revenue_category","revenue_source","fund_class","funding_class","revenue_class","budget_fiscal_year","fiscal_year","adopted","modified","recognized","closing_classification_name"
"1","Administration for Children's Services","State Grants and Contracts-Categorical","STATE PREVENTIVE SERVICES","General Fund","STATE","SOCIAL SERVICES","2023","2023","454852729","668337329","325844762","Billed Revenue"
"2","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","361067169","422611472","99999999.99","Collected Unearned Revenue Roll"
"3","Administration for Children's Services","State Grants and Contracts-Categorical","STATE PREVENTIVE SERVICES","General Fund","STATE","SOCIAL SERVICES","2023","2023","454852729","566709527","99999999.99","Collected Unearned Revenue Roll"
"4","Administration for Children's Services","State Grants and Contracts-Categorical","STATE PREVENTIVE SERVICES","General Fund","STATE","SOCIAL SERVICES","2023","2023","454852729","566709527","99999999.99","Collected Unearned Revenue Roll"
"5","Administration for Children's Services","Federal Grants and Contracts-Categorical","FOSTER CARE TITLE IV-E","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","16048063","16601329","99999999.99","Collected Unearned Revenue Roll"
"6","Administration for Children's Services","State Grants and Contracts-Categorical","STATE PREVENTIVE SERVICES","General Fund","STATE","SOCIAL SERVICES","2023","2023","454852729","566709527","99999999.99","Collected Unearned Revenue Roll"
"7","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","99999999.99","Collected Unearned Revenue Roll"
"8","Administration for Children's Services","Federal Grants and Contracts-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2023","2023","0","0","99999999.99","Collected Unearned Revenue Roll"
"9","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","99999999.99","Collected Unearned Revenue Roll"
"10","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","99999999.99","Collected Unearned Revenue Roll"
"11","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","99999999.99","Collected Unearned Revenue Roll"
"12","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","99999999.99","Collected Unearned Revenue Roll"
"13","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","99999999.99","Collected Unearned Revenue Roll"
"14","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","99999999.99","Collected Unearned Revenue Roll"
"15","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","99999999.99","Collected Unearned Revenue Roll"
"16","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","99999999.99","Collected Unearned Revenue Roll"
"17","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","99999999.99","Collected Unearned Revenue Roll"
"18","Administration for Children's Services","Federal Grants and Contracts-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2023","2023","0","0","99999999.99","Collected Unearned Revenue Roll"
"19","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","99999999.99","Collected Unearned Revenue Roll"
"20","Administration for Children's Services","Federal Grants and Contracts-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","0","0","94385541.01","Collected Unearned Revenue Roll"
"21","Administration for Children's Services","Federal Grants and Contracts-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2023","2023","0","0","94385541.01","Collected Unearned Revenue Roll"
"22","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","93299823.06","Collected Unearned Revenue Roll"
"23","Administration for Children's Services","State Grants and Contracts-Categorical","STATE PREVENTIVE SERVICES","General Fund","STATE","SOCIAL SERVICES","2023","2023","454852729","566709527","78107175.03","Collected Unearned Revenue Roll"
"24","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","78107175.03","Collected Unearned Revenue Roll"
"25","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","77443000","Collected Unearned Revenue Roll"
"26","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","76059729","Collected Unearned Revenue Roll"
"27","Administration for Children's Services","State Grants and Contracts-Categorical","STATE PREVENTIVE SERVICES","General Fund","STATE","SOCIAL SERVICES","2023","2023","454852729","668337329","68027482","Unbilled Revenue"
"28","Administration for Children's Services","Federal Grants and Contracts-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2023","2023","0","0","59516531","Collected Unearned Revenue Roll"
"29","Administration for Children's Services","State Grants and Contracts-Categorical","STATE PREVENTIVE SERVICES","General Fund","STATE","SOCIAL SERVICES","2023","2023","454852729","457110303","54202926.5","Collected Unearned Revenue Roll"
"30","Administration for Children's Services","State Grants and Contracts-Categorical","STATE PREVENTIVE SERVICES","General Fund","STATE","SOCIAL SERVICES","2023","2023","454852729","668337329","52795710.2","Billed Revenue"
"31","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","50863417","Collected Unearned Revenue Roll"
"32","Administration for Children's Services","State Grants and Contracts-Categorical","STATE DOSS FRINGE BENEFITS","General Fund","STATE","SOCIAL SERVICES","2023","2023","87997285","109250285","47799858","Billed Revenue"
"33","Administration for Children's Services","Federal Grants and Contracts-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2023","2023","0","0","46452313","Collected Unearned Revenue Roll"
"34","Administration for Children's Services","Federal Grants and Contracts-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2023","2023","0","0","43369388","Collected Unearned Revenue Roll"
"35","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","361067169","422611472","43272684","Collected Unearned Revenue Roll"
"36","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","43272684","Collected Unearned Revenue Roll"
"37","Administration for Children's Services","State Grants and Contracts-Categorical","SECURE DETENTION SERVICES","General Fund","STATE","YOUTH","2023","2023","28078329","54799758","43132164","Unbilled Revenue"
"38","Administration for Children's Services","State Grants and Contracts-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2023","2023","0","0","38079710","Collected Unearned Revenue Roll"
"39","Administration for Children's Services","Federal Grants and Contracts-Categorical","HOLDING ACCT UNALLOC FED RECPT","General Fund","FEDERAL - OTHER","HOLDING ACCT-UNDISTRIBUTD CASH","2023","2023","0","0","37592065.01","Collected Unearned Revenue Roll"
"40","Administration for Children's Services","Federal Grants and Contracts-Categorical","SOC SERV BLK GRANT TITLEXX CHILD WELFARE","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2023","134546060","134546060","36272045","Collected Unearned Revenue Roll"
"41","Administration for Children's Services","Federal Grants and Contracts-Categorical","CHILD CARE & DEVEL.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2023","2024","361067169","390105544","35999795","Collected Revenue"
