"","agency","revenue_category","revenue_source","fund_class","funding_class","revenue_class","budget_fiscal_year","fiscal_year","adopted","modified","recognized","closing_classification_name"
"1","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","21827425","Collected Unearned Revenue Roll"
"2","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","10493322.94","Billed Revenue"
"3","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","7754282.4","Collected Revenue"
"4","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","7026522.6","Billed Revenue"
"5","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","6921095.77","Billed Revenue"
"6","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","6624849.55","Billed Revenue"
"7","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","6551976.2","Collected Unearned Revenue Roll"
"8","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","6442632.2","Billed Revenue"
"9","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","5785665.7","Billed Revenue"
"10","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","5222356.37","Billed Revenue"
"11","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","5222356.37","Collected Unearned Revenue Roll"
"12","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2013","","","4697531","Collected Revenue"
"13","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","4575248.5","Collected Unearned Revenue Roll"
"14","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","4459821.61","Collected Revenue"
"15","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","4394838.6","Collected Revenue"
"16","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2011","2011","","","4241832.2","Billed Revenue"
"17","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","3825949.96","Collected Unearned Revenue Roll"
"18","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","3825949.96","Collected Revenue"
"19","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","3710606.7","Billed Revenue"
"20","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","3710606.7","Collected Revenue"
"21","Department for the Aging","Federal Grants-Categorical","NUTRITION PROGRAM FOR THE ELDERLY","General Fund","FEDERAL - OTHER","AGRICULTURE","2011","2011","","","3329801.18","Collected Unearned Revenue Roll"
"22","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","3061961.51","Collected Unearned Revenue Roll"
"23","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","3061961.51","Collected Revenue"
"24","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","3052492","Collected Unearned Revenue Roll"
"25","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2011","2011","","","2910531.86","Collected Unearned Revenue Roll"
"26","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","2736243","Collected Revenue"
"27","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","2660061.87","Collected Unearned Revenue Roll"
"28","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","2631684","Collected Revenue"
"29","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2013","","","2607856","Accounts Left In Old Year"
"30","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","2513202.08","Billed Revenue"
"31","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","2513202.08","Collected Revenue"
"32","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","2486113.37","Collected Revenue"
"33","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2011","2011","","","2483669.8","Billed Revenue"
"34","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","2374644.38","Collected Revenue"
"35","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","2374644.38","Collected Unearned Revenue Roll"
"36","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2011","2011","","","2365627.86","Collected Unearned Revenue Roll"
"37","Department for the Aging","State Grants-Categorical","COMMUNITY SERVICES FOR AGING","General Fund","STATE","AGING","2011","2011","","","2365627.86","Collected Revenue"
"38","Department for the Aging","Federal Grants-Categorical","Nutrition Services Incentive Program","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","2322270.25","Collected Revenue"
