V1,agency,year,department,expense_category,budget_code,budget_name,adopted,modified,encumbered,cash_expense,pre_encumbered,post_adjustment,accrued_expense,committed,agency_code,actual_expenditure,agency_total_budget,Total.Citywide.Rev,Total.Citywide.Budget,FY_CPI,Adjusted.Total.Citywide.Rev,Adjusted.Total.Citywide.Budget,Adjusted.actual_expenditure,Adjusted.agency_total_budget,Path
,Other Agencies,2011,,,,,,,,,,,,,,25492077320 ,25492077320 ,64806837521 ,58885814000 ,221 ,87786715178 ,79766153995 ,34531321333 ,34531321333 ,0
,Other Agencies,2012,,,,,,,,,,,,,,24690953362 ,24690953362 ,66482257270 ,59788636000 ,227 ,87926391071 ,79073713896 ,32655124997 ,32655124997 ,0
,Other Agencies,2013,,,,,,,,,,,,,,27488698406 ,27488698406 ,70522027221 ,62649080000 ,231 ,91646556012 ,81415305906 ,35722803746 ,35722803746 ,0
,Other Agencies,2014,,,,,,,,,,,,,,32917430178 ,32917430178 ,72259770002 ,67705878000 ,235 ,92163144042 ,86354919015 ,41984272284 ,41984272284 ,0
,Other Agencies,2015,,,,,,,,,,,,,,30568755787 ,30568755787 ,77482450664 ,67705878000 ,237 ,98110150220 ,85730817810 ,38706815036 ,38706815036 ,0
,Other Agencies,2016,,,,,,,,,,,,,,34887786128 ,34887786128 ,79399507362 ,73700743000 ,238 ,99863732490 ,92696183236 ,43879582454 ,43879582454 ,0
,Other Agencies,2017,,,,,,,,,,,,,,32523779759 ,32523779759 ,83029725434 ,73700743000 ,243 ,102543000000 ,91021851944 ,40167418203 ,40167418203 ,0
,Other Agencies,2018,,,,,,,,,,,,,,33280309984 ,33280309984 ,87479579614 ,77027929000 ,248 ,105657000000 ,93033996503 ,40195813167 ,40195813167 ,0
,Other Agencies,2019,,,,,,,,,,,,,,38288664268 ,38288664268 ,91343801296 ,84758165000 ,253 ,108085000000 ,100292000000 ,45305811194 ,45305811194 ,0
,Other Agencies,2020,,,,,,,,,,,,,,40262576989 ,40262576989 ,94618150319 ,87849439000 ,257 ,110235000000 ,102349000000 ,46907866564 ,46907866564 ,0
,Other Agencies,2021,,,,,,,,,,,,,,43153907607 ,43153907607 ,99182509297 ,91103926000 ,263 ,112953000000 ,103753000000 ,49145169041 ,49145169041 ,0
,Other Agencies,2022,,,,,,,,,,,,,,45995237875 ,45995237875 ,106796000000 ,98933172000 ,282 ,113483000000 ,105128000000 ,48875475083 ,48875475083 ,0
,Other Agencies,2023,,,,,,,,,,,,,,46162049941 ,46162049941 ,107780000000 ,100171000000 ,300 ,107780000000 ,100171000000 ,46161972924 ,46161972924 ,0
