"Adopted","Agency","Budget Fiscal Year","Closing Classification Name","Fiscal Year","Fund Class","Funding Class","Modified","Recognized","Revenue Category","Revenue Class","Revenue Source"\
;12000000.00,Department of Finance,2016,Collected Revenue,2016,General Fund,CITY FUNDS,13800000.00,-34640.00,CHARGES FOR SERVICES,GENERAL GOVERNMENTAL CHARGES,ADMINISTRATIVE SERV TO PUBLIC
66185.00,Department of Health and Mental Hygiene,2016,Billed Revenue,2016,General Fund,FEDERAL - OTHER,68396.00,-34656.33,Federal Grants-Categorical,ENVIRONMENTAL PROTECTION,BEACH MONITORING AND NOTIFICATION
788059843.00,Mayoralty,2016,Unbilled Revenue,2018,General Fund,FEDERAL - CD,676718140.00,-34657.87,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,CDBG-Disaster Recovery
788059843.00,Mayoralty,2016,Billed Revenue,2018,General Fund,FEDERAL - CD,676718140.00,-34657.87,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,CDBG-Disaster Recovery
89510000.00,Office of Administrative Trials and Hearings,2016,Collected Revenue,2016,General Fund,CITY FUNDS,89510000.00,-34662.81,FINES AND FOREITURES,FINES,FINES - ECB
344875.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2017,General Fund,FEDERAL - OTHER,388386.00,-34668.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
344875.00,Housing Preservation and Development,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,388386.00,-34668.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
770000000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,770000000.00,-34682.05,TAXES,OTHER TAXES,TX ON COMMERCIAL RENTS - OCCUP
437515.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2018,General Fund,FEDERAL - OTHER,458898.00,-34685.00,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
437515.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2018,General Fund,FEDERAL - OTHER,458898.00,-34685.00,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
437515.00,Housing Preservation and Development,2016,Billed Revenue,2018,General Fund,FEDERAL - OTHER,458898.00,-34685.00,Federal Grants and Contracts-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
0.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,0.00,-34685.00,Federal Grants-Categorical,HOLDING ACCT-UNDISTRIBUTD CASH,HOLDING ACCT UNALLOC FED RECPT
0.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,0.00,-34685.00,Federal Grants-Categorical,HOLDING ACCT-UNDISTRIBUTD CASH,HOLDING ACCT UNALLOC FED RECPT
647215327.00,Department of Citywide Administrative Services,2016,Collected Revenue,2016,General Fund,INTRA-CITY SALES,566838955.00,-34711.81,CHARGES FOR SERVICES,INTRA-CITY CHARGES,GAS AND ELECTRIC
446147.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2017,General Fund,FEDERAL - OTHER,515197.00,-34712.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
446147.00,Housing Preservation and Development,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,515197.00,-34712.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
0.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2016,General Fund,FEDERAL - OTHER,0.00,-34712.00,Federal Grants-Categorical,HOLDING ACCT-UNDISTRIBUTD CASH,HOLDING ACCT UNALLOC FED RECPT
1250000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,1220000.00,-34714.00,TAXES,OTHER TAXES,OFF TRACK BETTING - SURTAX
1250000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,1220000.00,-34714.00,TAXES,OTHER TAXES,OFF TRACK BETTING - SURTAX
0.00,Police Department,2016,Billed Revenue,2016,General Fund,OTHER CATEGORICAL,79123.00,-34714.60,Non-Governmental Grants,NONGOVT GRANTS-HIGHWAYS & STS,TEA- CITY WIDE CONSTRUCTION PROJECT
446147.00,Housing Preservation and Development,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,515197.00,-34716.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
9462447000.00,Mayoralty,2016,Collected Revenue,2016,General Fund,CITY FUNDS,9462447000.00,-34716.06,TAXES,GENERAL PROPERTY TAXES,REAL PROP TAX 1ST QUART
446147.00,Housing Preservation and Development,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,515197.00,-34717.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
446147.00,Housing Preservation and Development,2016,Collected Unearned Revenue Roll,2017,General Fund,FEDERAL - OTHER,515197.00,-34717.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
446147.00,Housing Preservation and Development,2016,Billed Revenue,2017,General Fund,FEDERAL - OTHER,515197.00,-34717.00,Federal Grants-Categorical,HOUSING AND URBAN DEVELOPMENT,Continuum of Care - Shelter Plus Care
