"","agency","revenue_category","revenue_source","fund_class","funding_class","revenue_class","budget_fiscal_year","fiscal_year","adopted","modified","recognized","closing_classification_name"
"1","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","21827425","Collected Unearned Revenue Roll"
"2","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2010","2011","","","12317126.78","Collected Revenue"
"3","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","10493322.94","Billed Revenue"
"4","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","7026522.6","Billed Revenue"
"5","Department for the Aging","Federal Grants-Categorical","TITLE XX SOC.SERV.BLOCK GRANT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","6921095.77","Billed Revenue"
"6","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","6624849.55","Billed Revenue"
"7","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","6551976.2","Collected Unearned Revenue Roll"
"8","Department for the Aging","State Grants-Categorical","EXPANDED IN-HOMES SERVICES","General Fund","STATE","AGING","2011","2011","","","6442632.2","Billed Revenue"
"9","Department for the Aging","State Grants-Categorical","SUPPLE.NUTRITION ASSIST. PROG.","General Fund","STATE","AGING","2011","2011","","","5785665.7","Billed Revenue"
"10","Department for the Aging","Federal Grants-Categorical","TITLE III, PART C: NUTRITION SERVICES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","5222356.37","Billed Revenue"
